Unnamed: 0,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash,feat_PE,feat_PB,feat_Div_Yield,Open,High,Low,Close,USDINR
351.0,2024-03-18,-55885.0,-179.0,-3925.0,-61315.0,-2051.0,2261.0,22.77,3.86,1.22,21990.1,22123.7,21916.55,22055.7,0.0
350.0,2024-03-19,-54665.0,-2143.0,-24044.0,-85359.0,1421.0,7449.0,22.52,3.82,1.23,21946.45,21978.3,21793.1,21817.45,0.0
349.0,2024-03-20,1.13,-928.0,-9865.0,-95224.0,-2599.0,2668.0,22.55,3.83,1.23,21843.9,21930.9,21710.2,21839.1,0.0
348.0,2024-03-21,23775.0,443.0,5875.0,-89349.0,-1827.0,3209.0,22.73,3.86,1.22,21989.9,22080.95,21941.3,22011.95,0.0
347.0,2024-03-22,-50366.0,1433.0,16970.0,-72379.0,-3310.0,3765.0,22.81,3.87,1.21,21932.2,22180.7,21883.3,22096.75,0.0
346.0,2024-03-26,-50366.0,1433.0,16970.0,-72379.0,10.0,5024.0,22.72,3.85,1.22,21947.9,22073.2,21947.55,22004.7,0.0
345.0,2024-03-27,-50366.0,1433.0,16970.0,-72379.0,2170.0,1198.0,22.84,3.87,1.21,22053.95,22193.6,22052.85,22123.65,0.0
344.0,2024-03-28,-50366.0,1433.0,16970.0,-72379.0,188.0,2692.0,22.88,3.92,1.2,22163.6,22516.0,22163.6,22326.9,0.0
343.0,2024-04-01,-50366.0,1433.0,16970.0,-72379.0,-522.0,1208.0,23.02,3.94,1.2,22455.0,22529.95,22427.75,22462.0,0.0
342.0,2024-04-02,-50366.0,1433.0,16970.0,-72379.0,-1623.0,1953.0,23.01,3.94,1.2,22458.8,22497.6,22388.15,22453.3,0.0
341.0,2024-04-03,-50366.0,1433.0,16970.0,-72379.0,-2213.0,1102.0,22.99,3.93,1.2,22385.7,22521.1,22346.5,22434.65,0.0
340.0,2024-04-04,-50366.0,1433.0,16970.0,-72379.0,-1136.0,-893.0,23.07,3.95,1.19,22592.1,22619.0,22303.8,22514.65,0.0
339.0,2024-04-05,-50366.0,1433.0,16970.0,-72379.0,1659.0,-3370.0,23.07,3.95,1.19,22486.4,22537.6,22427.6,22513.7,0.0
338.0,2024-04-08,-50366.0,1433.0,16970.0,-72379.0,-685.0,3471.0,23.23,3.98,1.18,22578.35,22697.3,22550.35,22666.3,0.0
337.0,2024-04-09,-50366.0,1433.0,16970.0,-72379.0,-593.0,2257.0,23.2,3.97,1.19,22765.1,22768.4,22612.25,22642.75,0.0
336.0,2024-04-10,-50366.0,1433.0,16970.0,-72379.0,2778.0,163.0,23.32,3.99,1.18,22720.25,22775.7,22673.7,22753.8,0.0
335.0,2024-04-12,-50366.0,1433.0,16970.0,-72379.0,-8027.0,6341.0,23.08,3.95,1.19,22677.4,22726.45,22503.75,22519.4,0.0
