Date,feat_Div_Yield,feat_PB,feat_PE,Open,High,Low,Close,new_high_new_low,nifty_above_dma,sector,FIICash,DIIcash
06-Jul-23,1.37,4.57,22.72,19385.7,19512.2,19373,19497.3,18,65.8,-1.30E-06,-1031,-365
07-Jul-23,1.39,4.53,22.52,19422.8,19523.6,19303.6,19331.8,17,67,-4.48E-05,-1943,1973
10-Jul-23,1.38,4.54,22.55,19400.35,19435.85,19327.1,19355.9,13,68.8,-4.07E-07,4013,550
11-Jul-23,1.38,4.56,22.65,19427.1,19515.1,19406.45,19439.4,18,70.4,1.06E-05,-693,219
12-Jul-23,1.38,4.54,22.58,19497.45,19507.7,19361.75,19384.3,14,73,1.63E-05,-345,-684
13-Jul-23,1.32,4.74,23.81,19495.2,19567,19385.8,19413.75,8,75.8,4.71E-05,-409,250
14-Jul-23,1.3,4.78,23.96,19493.45,19595.35,19433.5,19564.5,6,79,0.000105786,2029,-1991
17-Jul-23,1.29,4.82,24.14,19612.15,19731.85,19562.95,19711.45,7,81.6,0.000157441,12350,-1021
18-Jul-23,1.28,4.83,24.18,19787.5,19819.45,19690.2,19749.25,3,82.4,0.000224355,6397,1198
19-Jul-23,1.27,4.85,24.09,19802.95,19851.7,19727.45,19833.15,9,79.8,0.000330127,1996,-338
20-Jul-23,1.28,4.88,24.24,19831.7,19991.85,19758.4,19979.15,7,76.8,0.000320067,2134,-785
21-Jul-23,1.27,4.82,23.95,19800.45,19887.4,19700,19745,14,76,0.000266304,1603,-439
24-Jul-23,1.28,4.81,23.83,19748.45,19782.75,19658.3,19672.35,7,73.6,0.00017189,2641,-2352
25-Jul-23,1.28,4.81,23.55,19729.35,19729.35,19615.95,19680.6,7,71.8,0.000171585,790,-2964
26-Jul-23,1.27,4.83,23.97,19733.35,19825.6,19716.7,19778.3,10,70.6,0.000158736,588,288
27-Jul-23,1.28,4.8,23.83,19850.9,19867.55,19603.55,19659.9,9,69.2,2.85E-05,1197,-7
28-Jul-23,1.29,4.8,22.91,19659.75,19695.9,19563.1,19646.05,9,68.4,-9.61E-05,-1242,437
31-Jul-23,1.28,4.83,23.01,19666.35,19772.75,19597.6,19753.8,6,67.4,-0.000131947,2238,-1197
01-Aug-23,1.28,4.82,22.96,19784,19795.6,19704.6,19733.55,12,66.6,-0.0001165,2636,-772
02-Aug-23,1.33,4.73,22.72,19655.4,19678.25,19423.55,19526.55,7,65.4,-0.000163784,73,64
03-Aug-23,1.35,4.69,22.55,19463.75,19537.65,19296.45,19381.65,2,64,-0.000171632,2116,-1318
04-Aug-23,1.34,4.72,22.71,19462.8,19538.85,19436.45,19517,9,61.2,-0.000199055,1165,-2135
07-Aug-23,1.34,4.74,22.83,19576.85,19620.45,19524.8,19597.3,6,60,-0.000200689,3371,-193
08-Aug-23,1.31,4.73,22.73,19627.2,19634.4,19533.1,19570.85,-3,56.4,-0.000287587,-1999,1291
09-Aug-23,1.37,4.75,22.81,19578.8,19645.5,19467.5,19632.55,-5,51.2,-0.000361948,-83,935
10-Aug-23,1.36,4.73,22.77,19605.55,19623.6,19495.4,19543.1,0,49.8,-0.000319018,1089,-334
11-Aug-23,1.38,4.7,22.63,19554.25,19557.75,19412.75,19428.3,2,49.2,-0.000286887,923,470
14-Aug-23,1.39,4.7,22.64,19383.95,19465.85,19257.9,19434.55,4,47.2,-0.000376175,-3979,2528
16-Aug-23,1.39,4.68,22.52,19369,19482.75,19317.2,19465,3,47,-0.00048458,-1024,1634
17-Aug-23,1.39,4.66,22.39,19450.55,19461.55,19326.25,19365.25,-1,47.2,-0.000490762,-701,2488
18-Aug-23,1.36,4.64,22.32,19301.75,19373.8,19253.6,19310.15,-10,46.6,-0.000493872,-93,1036
21-Aug-23,1.37,4.66,22.42,19320.65,19425.95,19296.3,19393.6,-14,44.8,-0.000489293,-1878,-2
22-Aug-23,1.37,4.55,22.13,19417.1,19443.5,19381.3,19396.45,-10,43.6,-0.000534283,-317,1729
23-Aug-23,1.37,4.56,22.19,19439.2,19472.05,19366.6,19444,-5,43.2,-0.00052788,-556,367
24-Aug-23,1.37,4.47,22.12,19535.15,19584.45,19369,19386.7,-5,43.2,-0.000534327,-1893,1081
25-Aug-23,1.38,4.44,21.98,19297.4,19339.55,19229.7,19265.8,-3,44,-0.000579014,-711,537
28-Aug-23,1.38,4.43,22.03,19298.35,19366.85,19249.7,19306.05,0,44.6,-0.000641226,644,-598
29-Aug-23,1.38,4.42,22.07,19374.85,19377.9,19309.1,19342.65,1,45.4,-0.000592047,331,704
30-Aug-23,1.38,4.42,22.07,19433.45,19452.8,19334.75,19347.45,3,43.8,-0.00051573,-3073,500
31-Aug-23,1.38,4.4,21.97,19375.55,19388.2,19223.65,19253.8,-5,41.8,-0.000446308,-2324,1461
01-Sep-23,1.37,4.44,22.17,19258.15,19458.55,19255.7,19435.3,-2,41.2,-0.000252366,723,2406
04-Sep-23,1.36,4.46,22.28,19525.05,19545.15,19432.85,19528.8,-2,43.6,-8.60E-06,-1511,-314
05-Sep-23,1.36,4.46,22.33,19564.65,19587.05,19525.75,19574.9,3,45.2,0.000216826,-267,339
06-Sep-23,1.36,4.43,22.37,19581.2,19636.45,19491.5,19611.05,-2,45.6,0.000295942,-1901,626
07-Sep-23,1.36,4.41,22.28,19598.65,19737,19550.05,19727.05,7,49.2,0.00041292,-495,533
08-Sep-23,1.36,4.43,22.39,19774.8,19867.15,19728.05,19819.95,13,50.8,0.000619318,615,125
11-Sep-23,1.35,4.46,22.59,19890,20008.15,19865.35,19996.35,11,53.2,0.000874512,1524,5796
12-Sep-23,1.35,4.44,22.58,20110.15,20110.35,19914.65,19993.2,6,55.8,0.000949821,-4638,1415
13-Sep-23,1.34,4.46,22.67,19989.5,20096.9,19944.1,20070,8,60.4,0.000979317,-1393,1264
14-Sep-23,1.34,4.47,22.71,20127.95,20167.65,20043.45,20103.1,9,66,0.001081709,65,305
15-Sep-23,1.33,4.47,22.81,20156.45,20222.45,20129.7,20192.35,9,71.8,0.001109277,-494,1324
18-Sep-23,1.34,4.46,22.74,20155.95,20195.35,20115.7,20133.3,16,74,0.001119525,-2973,4383
20-Sep-23,1.35,4.41,22.48,19980.75,20050.65,19878.85,19901.4,9,77,0.001163444,488,2295
21-Sep-23,1.36,4.37,22.3,19840.55,19848.75,19709.95,19742.35,19,82.4,0.001345488,-3368,2563
22-Sep-23,1.37,4.36,22.22,19744.85,19798.65,19657.5,19674.25,20,84.6,0.001477645,164,1939
