Date,FIICash,DIIcash
2022-08-10,1062.0,-768.0
2022-08-11,2298.0,-730.0
2022-08-12,3040.0,-839.0
2022-08-16,1377.0,-136.0
2022-08-17,2347.0,-510.0
2022-08-18,-1706.0,471.0
2022-08-19,1111.0,-1633.0
2022-08-22,-454.0,-85.0
2022-08-23,563.0,-215.0
2022-08-24,23.0,-322.0
2022-08-25,369.0,-334.0
2022-08-26,-51.0,454.0
2022-08-29,-561.0,144.0
2022-08-30,4166.0,-657.0
2022-09-01,-2290.0,951.0
2022-09-02,-9.0,-669.0
2022-09-05,-812.0,534.0
2022-09-06,1145.0,633.0
2022-09-07,758.0,-139.0
2022-09-08,2913.0,-213.0
2022-09-09,2132.0,-1168.0
2022-09-12,2050.0,-891.0
2022-09-13,1957.0,-1268.0
2022-09-14,-1398.0,188.0
2022-09-15,-1271.0,-929.0
2022-09-16,-3260.0,-37.0
2022-09-19,312.0,-95.0
2022-09-20,1196.0,132.0
2022-09-21,-461.0,539.0
2022-09-22,-2510.0,263.0
2022-09-23,-2900.0,299.0
2022-09-26,-5101.0,3532.0
2022-09-27,-2824.0,3505.0
2022-09-28,-2772.0,2544.0
2022-09-29,-3599.0,3162.0
2022-09-30,-1565.0,3245.0
2022-10-03,591.0,-423.0
2022-10-04,1345.0,946.0
2022-10-06,279.0,-44.0
2022-10-07,-2251.0,545.0
2022-10-10,-2139.0,2137.0
2022-10-11,-4613.0,2431.0
2022-10-12,-542.0,85.0
2022-10-13,-1636.0,753.0
2022-10-14,-1011.0,1624.0
2022-10-17,-372.0,1582.0
2022-10-18,-153.0,2085.0
2022-10-19,-454.0,908.0
2022-10-20,1865.0,-887.0
2022-10-21,439.0,-119.0
2022-10-24,-154.0,80.0
2022-10-25,-247.0,873.0
2022-10-27,2818.0,-1580.0
2022-10-28,1569.0,-613.0
2022-10-31,4179.0,-1107.0
2022-11-01,2610.0,-730.0
2022-11-02,1436.0,-1378.0
2022-11-03,678.0,-732.0
2022-11-04,1436.0,-549.0
2022-11-07,1949.0,-844.0
2022-11-09,387.0,-1060.0
2022-11-10,36.0,-967.0
2022-11-11,3958.0,616.0
2022-11-14,1089.0,47.0
2022-11-15,-221.0,-549.0
2022-11-16,-386.0,1437.0
2022-11-17,618.0,449.0
2022-11-18,-751.0,890.0
2022-11-21,-1594.0,1263.0
2022-11-22,-698.0,636.0
2022-11-23,-790.0,414.0
2022-11-24,1232.0,-236.0
