TATACOFFEE,           Ratio_name Ratio_value company_name
10         asset_turn           1     SPANDANA
11          fs_margin           0     SPANDANA
GRINDWELL,           Ratio_name Ratio_value company_name
0       margin_growth    0.881426    GRINDWELL
1       margin_safety     8.77751    GRINDWELL
2             ROA_pos           1    GRINDWELL
3               fcfta           1    GRINDWELL
4         accrual_pos           1    GRINDWELL
5              fs_roa           1    GRINDWELL
6           f_accrual           0    GRINDWELL
7               lever           1    GRINDWELL
8              liquid           1    GRINDWELL
9   equity_repurchase           0    GRINDWELL
10         asset_turn           0    GRINDWELL
11          fs_margin           1    GRINDWELL
IPCALAB,           Ratio_name Ratio_value company_name
0       margin_growth    0.926791      IPCALAB
1       margin_safety     2.57698      IPCALAB
2             ROA_pos           1      IPCALAB
3               fcfta           1      IPCALAB
4         accrual_pos           1      IPCALAB
5              fs_roa           1      IPCALAB
6           f_accrual           0      IPCALAB
7               lever           1      IPCALAB
8              liquid           0      IPCALAB
9   equity_repurchase           0      IPCALAB
10         asset_turn           0      IPCALAB
11          fs_margin           1      IPCALAB
SUNDRMFAST,           Ratio_name Ratio_value company_name
0       margin_growth    0.869327   SUNDRMFAST
1       margin_safety     2.84036   SUNDRMFAST
2             ROA_pos           1   SUNDRMFAST
3               fcfta           0   SUNDRMFAST
4         accrual_pos           0   SUNDRMFAST
5              fs_roa           0   SUNDRMFAST
6           f_accrual           0   SUNDRMFAST
7               lever           1   SUNDRMFAST
8              liquid           0   SUNDRMFAST
9   equity_repurchase           0   SUNDRMFAST
10         asset_turn           0   SUNDRMFAST
11          fs_margin           1   SUNDRMFAST
BATAINDIA,           Ratio_name Ratio_value company_name
0       margin_growth     1.00765    BATAINDIA
1       margin_safety    0.948529    BATAINDIA
2             ROA_pos           0    BATAINDIA
3               fcfta           1    BATAINDIA
4         accrual_pos           1    BATAINDIA
5              fs_roa           0    BATAINDIA
6           f_accrual           1    BATAINDIA
7               lever           1    BATAINDIA
8              liquid           0    BATAINDIA
9   equity_repurchase           0    BATAINDIA
10         asset_turn           0    BATAINDIA
11          fs_margin           0    BATAINDIA
BALMLAWRIE,           Ratio_name Ratio_value company_name
0       margin_growth     1.01856   BALMLAWRIE
1       margin_safety     5.03268   BALMLAWRIE
2             ROA_pos           1   BALMLAWRIE
3               fcfta           1   BALMLAWRIE
4         accrual_pos           1   BALMLAWRIE
5              fs_roa           0   BALMLAWRIE
6           f_accrual           1   BALMLAWRIE
7               lever           0   BALMLAWRIE
8              liquid           1   BALMLAWRIE
9   equity_repurchase           1   BALMLAWRIE
10         asset_turn           0   BALMLAWRIE
11          fs_margin           0   BALMLAWRIE
EXIDEIND,           Ratio_name Ratio_value company_name
0       margin_growth    0.924742     EXIDEIND
1       margin_safety      7.7272     EXIDEIND
2             ROA_pos           1     EXIDEIND
3               fcfta           1     EXIDEIND
4         accrual_pos           1     EXIDEIND
5              fs_roa           0     EXIDEIND
6           f_accrual           1     EXIDEIND
7               lever           0     EXIDEIND
8              liquid           1     EXIDEIND
9   equity_repurchase           0     EXIDEIND
10         asset_turn           0     EXIDEIND
11          fs_margin           1     EXIDEIND
SHARDACROP,           Ratio_name Ratio_value company_name
0       margin_growth    0.863841   SHARDACROP
1       margin_safety     6.71313   SHARDACROP
2             ROA_pos           1   SHARDACROP
3               fcfta           0   SHARDACROP
4         accrual_pos           1   SHARDACROP
5              fs_roa           1   SHARDACROP
6           f_accrual           0   SHARDACROP
7               lever           0   SHARDACROP
8              liquid           0   SHARDACROP
9   equity_repurchase           0   SHARDACROP
10         asset_turn           0   SHARDACROP
11          fs_margin           1   SHARDACROP
KEC,           Ratio_name Ratio_value company_name
0       margin_growth    0.923302          KEC
1       margin_safety      6.8315          KEC
2             ROA_pos           1          KEC
3               fcfta           1          KEC
4         accrual_pos           1          KEC
5              fs_roa           0          KEC
6           f_accrual           1          KEC
7               lever           1          KEC
